titles,summaries,terms,word_count,unique_word_count
Assigning Apples to Individual Trees in Dense Orchards using 3D Color Point Clouds,"We propose a 3D color point cloud processing pipeline to count apples on
individual apple trees in trellis structured orchards. Fruit counting at the
tree level requires separating trees, which is challenging in dense orchards.
We employ point clouds acquired from the leaf-off orchard in winter period,
where the branch structure is visible, to delineate tree crowns. We localize
apples in point clouds acquired in harvest period. Alignment of the two point
clouds enables mapping apple locations to the delineated winter cloud and
assigning each apple to its bearing tree. Our apple assignment method achieves
an accuracy rate higher than 95%. In addition to presenting a first proof of
feasibility, we also provide suggestions for further improvement on our apple
assignment pipeline.",['cs.CV'],123,85
Gradient-EM Bayesian Meta-learning,"Bayesian meta-learning enables robust and fast adaptation to new tasks with
uncertainty assessment. The key idea behind Bayesian meta-learning is empirical
Bayes inference of hierarchical model. In this work, we extend this framework
to include a variety of existing methods, before proposing our variant based on
gradient-EM algorithm. Our method improves computational efficiency by avoiding
back-propagation computation in the meta-update step, which is exhausting for
deep neural networks. Furthermore, it provides flexibility to the inner-update
optimization procedure by decoupling it from meta-update. Experiments on
sinusoidal regression, few-shot image classification, and policy-based
reinforcement learning show that our method not only achieves better accuracy
with less computation cost, but is also more robust to uncertainty.","['cs.LG', 'stat.ML']",122,95
Actor-Mimic: Deep Multitask and Transfer Reinforcement Learning,"The ability to act in multiple environments and transfer previous knowledge
to new situations can be considered a critical aspect of any intelligent agent.
Towards this goal, we define a novel method of multitask and transfer learning
that enables an autonomous agent to learn how to behave in multiple tasks
simultaneously, and then generalize its knowledge to new domains. This method,
termed ""Actor-Mimic"", exploits the use of deep reinforcement learning and model
compression techniques to train a single policy network that learns how to act
in a set of distinct tasks by using the guidance of several expert teachers. We
then show that the representations learnt by the deep policy network are
capable of generalizing to new tasks with no prior expert guidance, speeding up
learning in novel environments. Although our method can in general be applied
to a wide range of problems, we use Atari games as a testing environment to
demonstrate these methods.",['cs.LG'],156,97
On Lyapunov Exponents for RNNs: Understanding Information Propagation Using Dynamical Systems Tools,"Recurrent neural networks (RNNs) have been successfully applied to a variety
of problems involving sequential data, but their optimization is sensitive to
parameter initialization, architecture, and optimizer hyperparameters.
Considering RNNs as dynamical systems, a natural way to capture stability,
i.e., the growth and decay over long iterates, are the Lyapunov Exponents
(LEs), which form the Lyapunov spectrum. The LEs have a bearing on stability of
RNN training dynamics because forward propagation of information is related to
the backward propagation of error gradients. LEs measure the asymptotic rates
of expansion and contraction of nonlinear system trajectories, and generalize
stability analysis to the time-varying attractors structuring the
non-autonomous dynamics of data-driven RNNs. As a tool to understand and
exploit stability of training dynamics, the Lyapunov spectrum fills an existing
gap between prescriptive mathematical approaches of limited scope and
computationally-expensive empirical approaches. To leverage this tool, we
implement an efficient way to compute LEs for RNNs during training, discuss the
aspects specific to standard RNN architectures driven by typical sequential
datasets, and show that the Lyapunov spectrum can serve as a robust readout of
training stability across hyperparameters. With this exposition-oriented
contribution, we hope to draw attention to this understudied, but theoretically
grounded tool for understanding training stability in RNNs.","['cs.LG', 'math.DS', 'nlin.CD', 'stat.ML']",213,134
A Simple General Approach to Balance Task Difficulty in Multi-Task Learning,"In multi-task learning, difficulty levels of different tasks are varying.
There are many works to handle this situation and we classify them into five
categories, including the direct sum approach, the weighted sum approach, the
maximum approach, the curriculum learning approach, and the multi-objective
optimization approach. Those approaches have their own limitations, for
example, using manually designed rules to update task weights, non-smooth
objective function, and failing to incorporate other functions than training
losses. In this paper, to alleviate those limitations, we propose a Balanced
Multi-Task Learning (BMTL) framework. Different from existing studies which
rely on task weighting, the BMTL framework proposes to transform the training
loss of each task to balance difficulty levels among tasks based on an
intuitive idea that tasks with larger training losses will receive more
attention during the optimization procedure. We analyze the transformation
function and derive necessary conditions. The proposed BMTL framework is very
simple and it can be combined with most multi-task learning models. Empirical
studies show the state-of-the-art performance of the proposed BMTL framework.","['cs.LG', 'stat.ML']",180,119
Attribute-Induced Bias Eliminating for Transductive Zero-Shot Learning,"Transductive Zero-shot learning (ZSL) targets to recognize the unseen
categories by aligning the visual and semantic information in a joint embedding
space. There exist four kinds of domain biases in Transductive ZSL, i.e.,
visual bias and semantic bias between two domains and two visual-semantic
biases in respective seen and unseen domains, but existing work only focuses on
the part of them, which leads to severe semantic ambiguity during the knowledge
transfer. To solve the above problem, we propose a novel Attribute-Induced Bias
Eliminating (AIBE) module for Transductive ZSL. Specifically, for the visual
bias between two domains, the Mean-Teacher module is first leveraged to bridge
the visual representation discrepancy between two domains with unsupervised
learning and unlabelled images. Then, an attentional graph attribute embedding
is proposed to reduce the semantic bias between seen and unseen categories,
which utilizes the graph operation to capture the semantic relationship between
categories. Besides, to reduce the semantic-visual bias in the seen domain, we
align the visual center of each category, instead of the individual visual data
point, with the corresponding semantic attributes, which further preserves the
semantic relationship in the embedding space. Finally, for the semantic-visual
bias in the unseen domain, an unseen semantic alignment constraint is designed
to align visual and semantic space in an unsupervised manner. The evaluations
on several benchmarks demonstrate the effectiveness of the proposed method,
e.g., obtaining the 82.8%/75.5%, 97.1%/82.5%, and 73.2%/52.1% for
Conventional/Generalized ZSL settings for CUB, AwA2, and SUN datasets,
respectively.",['cs.CV'],261,134
Reliable Fidelity and Diversity Metrics for Generative Models,"Devising indicative evaluation metrics for the image generation task remains
an open problem. The most widely used metric for measuring the similarity
between real and generated images has been the Fr\'echet Inception Distance
(FID) score. Because it does not differentiate the fidelity and diversity
aspects of the generated images, recent papers have introduced variants of
precision and recall metrics to diagnose those properties separately. In this
paper, we show that even the latest version of the precision and recall metrics
are not reliable yet. For example, they fail to detect the match between two
identical distributions, they are not robust against outliers, and the
evaluation hyperparameters are selected arbitrarily. We propose density and
coverage metrics that solve the above issues. We analytically and
experimentally show that density and coverage provide more interpretable and
reliable signals for practitioners than the existing metrics. Code:
https://github.com/clovaai/generative-evaluation-prdc.","['cs.CV', 'cs.LG', 'stat.ML']",150,104
Self-Configuring and Evolving Fuzzy Image Thresholding,"Every segmentation algorithm has parameters that need to be adjusted in order
to achieve good results. Evolving fuzzy systems for adjustment of segmentation
parameters have been proposed recently (Evolving fuzzy image segmentation --
EFIS [1]. However, similar to any other algorithm, EFIS too suffers from a few
limitations when used in practice. As a major drawback, EFIS depends on
detection of the object of interest for feature calculation, a task that is
highly application-dependent. In this paper, a new version of EFIS is proposed
to overcome these limitations. The new EFIS, called self-configuring EFIS
(SC-EFIS), uses available training data to auto-configure the parameters that
are fixed in EFIS. As well, the proposed SC-EFIS relies on a feature selection
process that does not require the detection of a region of interest (ROI).",['cs.CV'],135,86
Point Cloud Distortion Quantification based on Potential Energy for Human and Machine Perception,"Distortion quantification of point clouds plays a stealth, yet vital role in
a wide range of human and machine perception tasks. For human perception tasks,
a distortion quantification can substitute subjective experiments to guide 3D
visualization; while for machine perception tasks, a distortion quantification
can work as a loss function to guide the training of deep neural networks for
unsupervised learning tasks. To handle a variety of demands in many
applications, a distortion quantification needs to be distortion discriminable,
differentiable, and have a low computational complexity. Currently, however,
there is a lack of a general distortion quantification that can satisfy all
three conditions. To fill this gap, this work proposes multiscale potential
energy discrepancy (MPED), a distortion quantification to measure point cloud
geometry and color difference. By evaluating at various neighborhood sizes, the
proposed MPED achieves global-local tradeoffs, capturing distortion in a
multiscale fashion. Extensive experimental studies validate MPED's superiority
for both human and machine perception tasks.","['cs.CV', 'eess.IV']",159,101
Graph Residual Flow for Molecular Graph Generation,"Statistical generative models for molecular graphs attract attention from
many researchers from the fields of bio- and chemo-informatics. Among these
models, invertible flow-based approaches are not fully explored yet. In this
paper, we propose a powerful invertible flow for molecular graphs, called graph
residual flow (GRF). The GRF is based on residual flows, which are known for
more flexible and complex non-linear mappings than traditional coupling flows.
We theoretically derive non-trivial conditions such that GRF is invertible, and
present a way of keeping the entire flows invertible throughout the training
and sampling. Experimental results show that a generative model based on the
proposed GRF achieves comparable generation performance, with much smaller
number of trainable parameters compared to the existing flow-based model.","['cs.LG', 'stat.ML']",126,87
Unsupervised High-Resolution Depth Learning From Videos With Dual Networks,"Unsupervised depth learning takes the appearance difference between a target
view and a view synthesized from its adjacent frame as supervisory signal.
Since the supervisory signal only comes from images themselves, the resolution
of training data significantly impacts the performance. High-resolution images
contain more fine-grained details and provide more accurate supervisory signal.
However, due to the limitation of memory and computation power, the original
images are typically down-sampled during training, which suffers heavy loss of
details and disparity accuracy. In order to fully explore the information
contained in high-resolution data, we propose a simple yet effective dual
networks architecture, which can directly take high-resolution images as input
and generate high-resolution and high-accuracy depth map efficiently. We also
propose a Self-assembled Attention (SA-Attention) module to handle low-texture
region. The evaluation on the benchmark KITTI and Make3D datasets demonstrates
that our method achieves state-of-the-art results in the monocular depth
estimation task.",['cs.CV'],162,111
Zero-sample surface defect detection and classification based on semantic feedback neural network,"Defect detection and classification technology has changed from traditional
artificial visual inspection to current intelligent automated inspection, but
most of the current defect detection methods are training related detection
models based on a data-driven approach, taking into account the difficulty of
collecting some sample data in the industrial field. We apply zero-shot
learning technology to the industrial field. Aiming at the problem of the
existing ""Latent Feature Guide Attribute Attention"" (LFGAA) zero-shot image
classification network, the output latent attributes and artificially defined
attributes are different in the semantic space, which leads to the problem of
model performance degradation, proposed an LGFAA network based on semantic
feedback, and improved model performance by constructing semantic embedded
modules and feedback mechanisms. At the same time, for the common domain shift
problem in zero-shot learning, based on the idea of co-training algorithm using
the difference information between different views of data to learn from each
other, we propose an Ensemble Co-training algorithm, which adaptively reduces
the prediction error in image tag embedding from multiple angles. Various
experiments conducted on the zero-shot dataset and the cylinder liner dataset
in the industrial field provide competitive results.","['cs.CV', 'cs.AI']",197,121
Weakly Supervised Thoracic Disease Localization via Disease Masks,"To enable a deep learning-based system to be used in the medical domain as a
computer-aided diagnosis system, it is essential to not only classify diseases
but also present the locations of the diseases. However, collecting
instance-level annotations for various thoracic diseases is expensive.
Therefore, weakly supervised localization methods have been proposed that use
only image-level annotation. While the previous methods presented the disease
location as the most discriminative part for classification, this causes a deep
network to localize wrong areas for indistinguishable X-ray images. To solve
this issue, we propose a spatial attention method using disease masks that
describe the areas where diseases mainly occur. We then apply the spatial
attention to find the precise disease area by highlighting the highest
probability of disease occurrence. Meanwhile, the various sizes, rotations and
noise in chest X-ray images make generating the disease masks challenging. To
reduce the variation among images, we employ an alignment module to transform
an input X-ray image into a generalized image. Through extensive experiments on
the NIH-Chest X-ray dataset with eight kinds of diseases, we show that the
proposed method results in superior localization performances compared to
state-of-the-art methods.","['cs.CV', 'cs.LG']",204,131
Quantifying Explainers of Graph Neural Networks in Computational Pathology,"Explainability of deep learning methods is imperative to facilitate their
clinical adoption in digital pathology. However, popular deep learning methods
and explainability techniques (explainers) based on pixel-wise processing
disregard biological entities' notion, thus complicating comprehension by
pathologists. In this work, we address this by adopting biological entity-based
graph processing and graph explainers enabling explanations accessible to
pathologists. In this context, a major challenge becomes to discern meaningful
explainers, particularly in a standardized and quantifiable fashion. To this
end, we propose herein a set of novel quantitative metrics based on statistics
of class separability using pathologically measurable concepts to characterize
graph explainers. We employ the proposed metrics to evaluate three types of
graph explainers, namely the layer-wise relevance propagation, gradient-based
saliency, and graph pruning approaches, to explain Cell-Graph representations
for Breast Cancer Subtyping. The proposed metrics are also applicable in other
domains by using domain-specific intuitive concepts. We validate the
qualitative and quantitative findings on the BRACS dataset, a large cohort of
breast cancer RoIs, by expert pathologists.",['cs.CV'],173,116
Discrete-Valued Neural Communication,"Deep learning has advanced from fully connected architectures to structured
models organized into components, e.g., the transformer composed of positional
elements, modular architectures divided into slots, and graph neural nets made
up of nodes. In structured models, an interesting question is how to conduct
dynamic and possibly sparse communication among the separate components. Here,
we explore the hypothesis that restricting the transmitted information among
components to discrete representations is a beneficial bottleneck. The
motivating intuition is human language in which communication occurs through
discrete symbols. Even though individuals have different understandings of what
a ""cat"" is based on their specific experiences, the shared discrete token makes
it possible for communication among individuals to be unimpeded by individual
differences in internal representation. To discretize the values of concepts
dynamically communicated among specialist components, we extend the
quantization mechanism from the Vector-Quantized Variational Autoencoder to
multi-headed discretization with shared codebooks and use it for
discrete-valued neural communication (DVNC). Our experiments show that DVNC
substantially improves systematic generalization in a variety of architectures
-- transformers, modular architectures, and graph neural networks. We also show
that the DVNC is robust to the choice of hyperparameters, making the method
very useful in practice. Moreover, we establish a theoretical justification of
our discretization process, proving that it has the ability to increase noise
robustness and reduce the underlying dimensionality of the model.","['cs.LG', 'cs.AI']",229,151
Sensitive Data Detection with High-Throughput Neural Network Models for Financial Institutions,"Named Entity Recognition has been extensively investigated in many fields.
However, the application of sensitive entity detection for production systems
in financial institutions has not been well explored due to the lack of
publicly available, labeled datasets. In this paper, we use internal and
synthetic datasets to evaluate various methods of detecting NPI (Nonpublic
Personally Identifiable) information commonly found within financial
institutions, in both unstructured and structured data formats. Character-level
neural network models including CNN, LSTM, BiLSTM-CRF, and CNN-CRF are
investigated on two prediction tasks: (i) entity detection on multiple data
formats, and (ii) column-wise entity prediction on tabular datasets. We compare
these models with other standard approaches on both real and synthetic data,
with respect to F1-score, precision, recall, and throughput. The real datasets
include internal structured data and public email data with manually tagged
labels. Our experimental results show that the CNN model is simple yet
effective with respect to accuracy and throughput and thus, is the most
suitable candidate model to be deployed in the production environment(s).
Finally, we provide several lessons learned on data limitations, data labelling
and the intrinsic overlap of data entities.",['cs.LG'],194,128
Learning to search efficiently for causally near-optimal treatments,"Finding an effective medical treatment often requires a search by trial and
error. Making this search more efficient by minimizing the number of
unnecessary trials could lower both costs and patient suffering. We formalize
this problem as learning a policy for finding a near-optimal treatment in a
minimum number of trials using a causal inference framework. We give a
model-based dynamic programming algorithm which learns from observational data
while being robust to unmeasured confounding. To reduce time complexity, we
suggest a greedy algorithm which bounds the near-optimality constraint. The
methods are evaluated on synthetic and real-world healthcare data and compared
to model-free reinforcement learning. We find that our methods compare
favorably to the model-free baseline while offering a more transparent
trade-off between search time and treatment efficacy.","['cs.LG', 'stat.ML']",134,96
A Little Fog for a Large Turn,"Small, carefully crafted perturbations called adversarial perturbations can
easily fool neural networks. However, these perturbations are largely additive
and not naturally found. We turn our attention to the field of Autonomous
navigation wherein adverse weather conditions such as fog have a drastic effect
on the predictions of these systems. These weather conditions are capable of
acting like natural adversaries that can help in testing models. To this end,
we introduce a general notion of adversarial perturbations, which can be
created using generative models and provide a methodology inspired by
Cycle-Consistent Generative Adversarial Networks to generate adversarial
weather conditions for a given image. Our formulation and results show that
these images provide a suitable testbed for steering models used in Autonomous
navigation models. Our work also presents a more natural and general definition
of Adversarial perturbations based on Perceptual Similarity.","['cs.LG', 'cs.CV', 'eess.IV', 'stat.ML']",140,97
SBSGAN: Suppression of Inter-Domain Background Shift for Person Re-Identification,"Cross-domain person re-identification (re-ID) is challenging due to the bias
between training and testing domains. We observe that if backgrounds in the
training and testing datasets are very different, it dramatically introduces
difficulties to extract robust pedestrian features, and thus compromises the
cross-domain person re-ID performance. In this paper, we formulate such
problems as a background shift problem. A Suppression of Background Shift
Generative Adversarial Network (SBSGAN) is proposed to generate images with
suppressed backgrounds. Unlike simply removing backgrounds using binary masks,
SBSGAN allows the generator to decide whether pixels should be preserved or
suppressed to reduce segmentation errors caused by noisy foreground masks.
Additionally, we take ID-related cues, such as vehicles and companions into
consideration. With high-quality generated images, a Densely Associated
2-Stream (DA-2S) network is introduced with Inter Stream Densely Connection
(ISDC) modules to strengthen the complementarity of the generated data and
ID-related cues. The experiments show that the proposed method achieves
competitive performance on three re-ID datasets, ie., Market-1501,
DukeMTMC-reID, and CUHK03, under the cross-domain person re-ID scenario.",['cs.CV'],186,130
Learning values across many orders of magnitude,"Most learning algorithms are not invariant to the scale of the function that
is being approximated. We propose to adaptively normalize the targets used in
learning. This is useful in value-based reinforcement learning, where the
magnitude of appropriate value approximations can change over time when we
update the policy of behavior. Our main motivation is prior work on learning to
play Atari games, where the rewards were all clipped to a predetermined range.
This clipping facilitates learning across many different games with a single
learning algorithm, but a clipped reward function can result in qualitatively
different behavior. Using the adaptive normalization we can remove this
domain-specific heuristic without diminishing overall performance.","['cs.LG', 'cs.AI', 'cs.NE', 'stat.ML']",113,80
Learning color space adaptation from synthetic to real images of cirrus clouds,"Cloud segmentation plays a crucial role in image analysis for climate
modeling. Manually labeling the training data for cloud segmentation is
time-consuming and error-prone. We explore to train segmentation networks with
synthetic data due to the natural acquisition of pixel-level labels.
Nevertheless, the domain gap between synthetic and real images significantly
degrades the performance of the trained model. We propose a color space
adaptation method to bridge the gap, by training a color-sensitive generator
and discriminator to adapt synthetic data to real images in color space.
Instead of transforming images by general convolutional kernels, we adopt a set
of closed-form operations to make color-space adjustments while preserving the
labels. We also construct a synthetic-to-real cirrus cloud dataset SynCloud and
demonstrate the adaptation efficacy on the semantic segmentation task of cirrus
clouds. With our adapted synthetic data for training the semantic segmentation,
we achieve an improvement of 6:59% when applied to real images, superior to
alternative methods.",['cs.CV'],165,99
SentiMATE: Learning to play Chess through Natural Language Processing,"We present SentiMATE, a novel end-to-end Deep Learning model for Chess,
employing Natural Language Processing that aims to learn an effective
evaluation function assessing move quality. This function is pre-trained on the
sentiment of commentary associated with the training moves and is used to guide
and optimize the agent's game-playing decision making. The contributions of
this research are three-fold: we build and put forward both a classifier which
extracts commentary describing the quality of Chess moves in vast commentary
datasets, and a Sentiment Analysis model trained on Chess commentary to
accurately predict the quality of said moves, to then use those predictions to
evaluate the optimal next move of a Chess agent. Both classifiers achieve over
90 % classification accuracy. Lastly, we present a Chess engine, SentiMATE,
which evaluates Chess moves based on a pre-trained sentiment evaluation
function. Our results exhibit strong evidence to support our initial hypothesis
- ""Can Natural Language Processing be used to train a novel and sample
efficient evaluation function in Chess Engines?"" - as we integrate our
evaluation function into modern Chess engines and play against agents with
traditional Chess move evaluation functions, beating both random agents and a
DeepChess implementation at a level-one search depth - representing the number
of moves a traditional Chess agent (employing the alpha-beta search algorithm)
looks ahead in order to evaluate a given chess state.","['cs.LG', 'cs.AI', 'cs.CL']",231,136
Reinforcement Learning-based Joint Path and Energy Optimization of Cellular-Connected Unmanned Aerial Vehicles,"Unmanned Aerial Vehicles (UAVs) have attracted considerable research interest
recently. Especially when it comes to the realm of Internet of Things, the UAVs
with Internet connectivity are one of the main demands. Furthermore, the energy
constraint i.e. battery limit is a bottle-neck of the UAVs that can limit their
applications. We try to address and solve the energy problem. Therefore, a path
planning method for a cellular-connected UAV is proposed that will enable the
UAV to plan its path in an area much larger than its battery range by getting
recharged in certain positions equipped with power stations (PSs). In addition
to the energy constraint, there are also no-fly zones; for example, due to Air
to Air (A2A) and Air to Ground (A2G) interference or for lack of necessary
connectivity that impose extra constraints in the trajectory optimization of
the UAV. No-fly zones determine the infeasible areas that should be avoided. We
have used a reinforcement learning (RL) hierarchically to extend typical
short-range path planners to consider battery recharge and solve the problem of
UAVs in long missions. The problem is simulated for the UAV that flies over a
large area, and Q-learning algorithm could enable the UAV to find the optimal
path and recharge policy.","['cs.LG', 'eess.SP']",213,129
Friendly Training: Neural Networks Can Adapt Data To Make Learning Easier,"In the last decade, motivated by the success of Deep Learning, the scientific
community proposed several approaches to make the learning procedure of Neural
Networks more effective. When focussing on the way in which the training data
are provided to the learning machine, we can distinguish between the classic
random selection of stochastic gradient-based optimization and more involved
techniques that devise curricula to organize data, and progressively increase
the complexity of the training set. In this paper, we propose a novel training
procedure named Friendly Training that, differently from the aforementioned
approaches, involves altering the training examples in order to help the model
to better fulfil its learning criterion. The model is allowed to simplify those
examples that are too hard to be classified at a certain stage of the training
procedure. The data transformation is controlled by a developmental plan that
progressively reduces its impact during training, until it completely vanishes.
In a sense, this is the opposite of what is commonly done in order to increase
robustness against adversarial examples, i.e., Adversarial Training.
Experiments on multiple datasets are provided, showing that Friendly Training
yields improvements with respect to informed data sub-selection routines and
random selection, especially in deep convolutional architectures. Results
suggest that adapting the input data is a feasible way to stabilize learning
and improve the generalization skills of the network.",['cs.LG'],227,136
Unsupervised Learning of Object Landmarks through Conditional Image Generation,"We propose a method for learning landmark detectors for visual objects (such
as the eyes and the nose in a face) without any manual supervision. We cast
this as the problem of generating images that combine the appearance of the
object as seen in a first example image with the geometry of the object as seen
in a second example image, where the two examples differ by a viewpoint change
and/or an object deformation. In order to factorize appearance and geometry, we
introduce a tight bottleneck in the geometry-extraction process that selects
and distils geometry-related features. Compared to standard image generation
problems, which often use generative adversarial networks, our generation task
is conditioned on both appearance and geometry and thus is significantly less
ambiguous, to the point that adopting a simple perceptual loss formulation is
sufficient. We demonstrate that our approach can learn object landmarks from
synthetic image deformations or videos, all without manual supervision, while
outperforming state-of-the-art unsupervised landmark detectors. We further show
that our method is applicable to a large variety of datasets - faces, people,
3D objects, and digits - without any modifications.",['cs.CV'],190,116
InfoMax-GAN: Improved Adversarial Image Generation via Information Maximization and Contrastive Learning,"While Generative Adversarial Networks (GANs) are fundamental to many
generative modelling applications, they suffer from numerous issues. In this
work, we propose a principled framework to simultaneously mitigate two
fundamental issues in GANs: catastrophic forgetting of the discriminator and
mode collapse of the generator. We achieve this by employing for GANs a
contrastive learning and mutual information maximization approach, and perform
extensive analyses to understand sources of improvements. Our approach
significantly stabilizes GAN training and improves GAN performance for image
synthesis across five datasets under the same training and evaluation
conditions against state-of-the-art works. In particular, compared to the
state-of-the-art SSGAN, our approach does not suffer from poorer performance on
image domains such as faces, and instead improves performance significantly.
Our approach is simple to implement and practical: it involves only one
auxiliary objective, has a low computational cost, and performs robustly across
a wide range of training settings and datasets without any hyperparameter
tuning. For reproducibility, our code is available in Mimicry:
https://github.com/kwotsin/mimicry.","['cs.LG', 'cs.CV', 'stat.ML']",174,121
Spatial Transformer for 3D Point Clouds,"Deep neural networks are widely used for understanding 3D point clouds. At
each point convolution layer, features are computed from local neighborhoods of
3D points and combined for subsequent processing in order to extract semantic
information. Existing methods adopt the same individual point neighborhoods
throughout the network layers, defined by the same metric on the fixed input
point coordinates. This common practice is easy to implement but not
necessarily optimal. Ideally, local neighborhoods should be different at
different layers, as more latent information is extracted at deeper layers. We
propose a novel end-to-end approach to learn different non-rigid
transformations of the input point cloud so that optimal local neighborhoods
can be adopted at each layer. We propose both linear (affine) and non-linear
(projective and deformable) spatial transformers for 3D point clouds. With
spatial transformers on the ShapeNet part segmentation dataset, the network
achieves higher accuracy for all categories, with 8\% gain on earphones and
rockets in particular. Our method also outperforms the state-of-the-art on
other point cloud tasks such as classification, detection, and semantic
segmentation. Visualizations show that spatial transformers can learn features
more efficiently by dynamically altering local neighborhoods according to the
geometry and semantics of 3D shapes in spite of their within-category
variations. Our code is publicly available at
https://github.com/samaonline/spatial-transformer-for-3d-point-clouds.",['cs.CV'],229,140
Illumination Estimation Challenge: experience of past two years,"Illumination estimation is the essential step of computational color
constancy, one of the core parts of various image processing pipelines of
modern digital cameras. Having an accurate and reliable illumination estimation
is important for reducing the illumination influence on the image colors. To
motivate the generation of new ideas and the development of new algorithms in
this field, the 2nd Illumination estimation challenge~(IEC\#2) was conducted.
The main advantage of testing a method on a challenge over testing in on some
of the known datasets is the fact that the ground-truth illuminations for the
challenge test images are unknown up until the results have been submitted,
which prevents any potential hyperparameter tuning that may be biased.
  The challenge had several tracks: general, indoor, and two-illuminant with
each of them focusing on different parameters of the scenes. Other main
features of it are a new large dataset of images (about 5000) taken with the
same camera sensor model, a manual markup accompanying each image, diverse
content with scenes taken in numerous countries under a huge variety of
illuminations extracted by using the SpyderCube calibration object, and a
contest-like markup for the images from the Cube+ dataset that was used in
IEC\#1.
  This paper focuses on the description of the past two challenges, algorithms
which won in each track, and the conclusions that were drawn based on the
results obtained during the 1st and 2nd challenge that can be useful for
similar future developments.",['cs.CV'],247,150
Disentangling Observed Causal Effects from Latent Confounders using Method of Moments,"Discovering the complete set of causal relations among a group of variables
is a challenging unsupervised learning problem. Often, this challenge is
compounded by the fact that there are latent or hidden confounders. When only
observational data is available, the problem is ill-posed, i.e. the causal
relationships are non-identifiable unless strong modeling assumptions are made.
When interventions are available, we provide guarantees on identifiability and
learnability under mild assumptions. We assume a linear structural equation
model (SEM) with independent latent factors and directed acyclic graph (DAG)
relationships among the observables. Since the latent variable inference is
based on independent component analysis (ICA), we call this model SEM-ICA. We
use the method of moments principle to establish model identifiability. We
develop efficient algorithms based on coupled tensor decomposition with linear
constraints to obtain scalable and guaranteed solutions. Thus, we provide a
principled approach to tackling the joint problem of causal discovery and
latent variable inference.",['cs.LG'],158,102
CI-Net: Contextual Information for Joint Semantic Segmentation and Depth Estimation,"Monocular depth estimation and semantic segmentation are two fundamental
goals of scene understanding. Due to the advantages of task interaction, many
works study the joint task learning algorithm. However, most existing methods
fail to fully leverage the semantic labels, ignoring the provided context
structures and only using them to supervise the prediction of segmentation
split, which limit the performance of both tasks. In this paper, we propose a
network injected with contextual information (CI-Net) to solve the problem.
Specifically, we introduce self-attention block in the encoder to generate
attention map. With supervision from the ideal attention map created by
semantic label, the network is embedded with contextual information so that it
could understand scene better and utilize correlated features to make accurate
prediction. Besides, a feature sharing module is constructed to make the
task-specific features deeply fused and a consistency loss is devised to make
the features mutually guided. We evaluate the proposed CI-Net on the
NYU-Depth-v2 and SUN-RGBD datasets. The experimental results validate that our
proposed CI-Net could effectively improve the accuracy of semantic segmentation
and depth estimation.",['cs.CV'],187,123
Text-to-Image Generation Grounded by Fine-Grained User Attention,"Localized Narratives is a dataset with detailed natural language descriptions
of images paired with mouse traces that provide a sparse, fine-grained visual
grounding for phrases. We propose TReCS, a sequential model that exploits this
grounding to generate images. TReCS uses descriptions to retrieve segmentation
masks and predict object labels aligned with mouse traces. These alignments are
used to select and position masks to generate a fully covered segmentation
canvas; the final image is produced by a segmentation-to-image generator using
this canvas. This multi-step, retrieval-based approach outperforms existing
direct text-to-image generation models on both automatic metrics and human
evaluations: overall, its generated images are more photo-realistic and better
match descriptions.","['cs.CV', 'cs.AI']",117,84
Shape Complexes in Continuous Max-Flow Hierarchical Multi-Labeling Problems,"Although topological considerations amongst multiple labels have been
previously investigated in the context of continuous max-flow image
segmentation, similar investigations have yet to be made about shape
considerations in a general and extendable manner. This paper presents shape
complexes for segmentation, which capture more complex shapes by combining
multiple labels and super-labels constrained by geodesic star convexity. Shape
complexes combine geodesic star convexity constraints with hierarchical label
organization, which together allow for more complex shapes to be represented.
This framework avoids the use of co-ordinate system warping techniques to
convert shape constraints into topological constraints, which may be ambiguous
or ill-defined for certain segmentation problems.",['cs.CV'],109,76
Inspirational Adversarial Image Generation,"The task of image generation started to receive some attention from artists
and designers to inspire them in new creations. However, exploiting the results
of deep generative models such as Generative Adversarial Networks can be long
and tedious given the lack of existing tools. In this work, we propose a simple
strategy to inspire creators with new generations learned from a dataset of
their choice, while providing some control on them. We design a simple
optimization method to find the optimal latent parameters corresponding to the
closest generation to any input inspirational image. Specifically, we allow the
generation given an inspirational image of the user choice by performing
several optimization steps to recover optimal parameters from the model's
latent space. We tested several exploration methods starting with classic
gradient descents to gradient-free optimizers. Many gradient-free optimizers
just need comparisons (better/worse than another image), so that they can even
be used without numerical criterion, without inspirational image, but with only
with human preference. Thus, by iterating on one's preferences we could make
robust Facial Composite or Fashion Generation algorithms. High resolution of
the produced design generations are obtained using progressive growing of GANs.
Our results on four datasets of faces, fashion images, and textures show that
satisfactory images are effectively retrieved in most cases.","['cs.CV', 'cs.LG', 'stat.ML']",218,147
